Site,Latitude,Longitude,Zone,Sector,Depth
IN2017V01_MC01,-64.47,115.6,AZ,IND,2163
IN2017V01_MC02,-64.46,115,AZ,IND,1862
IN2017V01_MC06,-64.73,118.7,AZ,IND,3320
MD02_2483,-43.39,49.79,SAZ,IND,2300
MD02_2484,-45.08,53.33,SAZ,IND,3400
MD02_2486,-47,89.11,SAZ,IND,3380
MD04_2714,-43.4,49.82,SAZ,IND,2300
MD04_2716,-46.17,52.93,PFZ,IND,3320
MD04_2720,-49.13,71.37,AZ,IND,750
MD11_3353,-50.567,68.3855,AZ,IND,1568
MD12_3396CQ,-47.73,86.7,SAZ,IND,3630
MD19_3575CQ,-46.04716667,44.37016667,SAZ,IND,2410
MD19_3577CQ,-46.18483333,49.1895,PFZ,IND,857
MD19_3579CQ,-45.73233333,52.02583333,PFZ,IND,2766
MD19_3580,-45.73316667,52.02533333,PFZ,IND,2748
MD88_764,-44.4,65.13,SAZ,IND,4530
MD88_765,-47.02,76.93,PFZ,IND,3420
MD88_766,-46.65,79.47,SAZ,IND,2920
MD88_767,-46.67,79.5,SAZ,IND,2930
MD88_768,-45.75,82.93,SAZ,IND,3330
MD88_769,-46.07,90.11,SAZ,IND,3420
MD88_770,-46.02,96.46,SAZ,IND,3290
MD88_771,-49.92,100.11,PFZ,IND,3310
MD88_772,-50.02,104.9,PFZ,IND,3240
MD88_793,-62.49,95.93,AZ,IND,3790
MD88_794,-58.99,89.4,AZ,IND,4595
MD88_795,-50.84,68.02,AZ,IND,1870
MD94_01B,-42.5,79.42,SAZ,IND,2920
MD94_02B,-45.59,86.52,SAZ,IND,3205
MD94_04B,-50.38,90.25,PFZ,IND,4036
MD94_05B,-48.8,89.54,PFZ,IND,3730
MD94_06B,-44.67,90.08,SAZ,IND,3315
MD94_07B,-41.72,90.28,SAZ,IND,2768
MD94_08B,-38.86,90.1,STZ,IND,3491
MD94_09B,-33.59,97.6,STZ,IND,4185
MD94_102,-43.51,79.84,SAZ,IND,3205
MD94_104,-46.48,88.07,SAZ,IND,3460
MD94_107,-47.77,90.24,SAZ,IND,3525
MD94_10B,-32.16,97.7,STZ,IND,1660
MD94_113,-40.7,94.6,STZ,IND,3436
MD94_115,-33.18,97.61,STZ,IND,4020
MD94_117,-31.62,97.71,STZ,IND,2360
MD94_11B,-33.58,110.58,STZ,IND,2400
MD94_12B,-33.53,109.15,STZ,IND,4110
MD94_13B,-33.54,109.31,STZ,IND,3560
MD97_2100,-35.96,80.93,STZ,IND,2510
MD97_2101,-43.5,79.84,SAZ,IND,3145
MD97_2102,-39.92,86.01,STZ,IND,3440
MD97_2104,-46.04,96.48,SAZ,IND,3310
MD97_2105,-47.19,104.48,SAZ,IND,3300
NBP1402_MC45,-66.4,120.3,AZ,IND,538
NBP1402_MC61,-66.13,120.5,AZ,IND,579
PS1805_5,-66.19,35.31,AZ,IND,4149
PS1813_3,-64.96,33.63,AZ,IND,2225
PS1821_5,-67.06,37.48,AZ,IND,4028
PS1823_1,-65.93,30.83,AZ,IND,4442
PS2557,-36.96,21.78,STZ,IND,3371
PS2560,-40.58,25.59,STZ,IND,2641
PS2561,-41.86,28.55,SAZ,IND,4471
PS2562,-43.18,31.58,SAZ,IND,5193
PS2563,-44.56,34.79,SAZ,IND,3515
PS2564,-45.13,35.9,SAZ,IND,3035
